召回时间,召回地区,召回公司,召回产品,召回内容,标题内容,页面地址
召回时间,召回地区,召回公司,召回产品,召回内容,标题内容,页面地址
20211015,上海,零到七贸易（上海）有限公司,儿童连衣裙,"生产者名称 零到七贸易（上海）有限公司 产品名称 B/B连衣裙 品牌 Allo&lugh 型号/规格 80/48、90/52、100/56、110/60 生产起止日期 2020/3/11 涉及数量 12 生产批号/批次 A20D10P502 产品描述及外观照片 连衣裙 存在的缺陷 胸前金属标的附件抗拉强力不符合标准要求 可能导致的后果 拉拽后可能导致面料撕破影响穿着，极端条件下儿童会有误吞的风险 避免损害发生的应急处置方式 公司在销售门店张贴召回计划，告知消费者立即停止使用该产品。请消费者尽 快与公司联系安排退货或换货事宜 具体召回措施 退货或换货 召回负责机构 零到七贸易（上海）有限公司 召回联系方式 1、在上海青浦奥莱阿路门店张贴召回计划 2、咨询电话：021-3490-6981 召回进度安排 1、2021年10月15日启动召回 2、2022年1月14日结束召回 其他需要报告的内容 / 其他信息 相关用户可以登录缺陷产品管理中心网站（dpac.samr.gov.cn）以及关注微信 公众号（SAMRDPAC)，或登陆上海市市场监督管理局网站(scjgj.sh.gov.cn)， 也可以拨打热线电话：010-59799616，021-54266039反映更多缺陷信息。 （转自上海市市场监督管理局网站） 此外，用户可登录国家市场监督管理总局缺陷产品管理中心
网站（
dpac.samr.gov.cn
）、中国产品安全与召回信息网（
www.recall.org.cn
），关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号",【上海】零到七贸易（上海）有限公司召回部分儿童连衣裙,https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202110/t20211015_100592.html
20211015,上海,闪电自行车（上海）有限公司,TARMAC SL7自行车,生产者名称 闪电自行车（上海）有限公司 产品名称 自行车 品牌 SPECIALIZED 型号/规格 TARMAC SL7 生产起止日期 2020年5月1日至2021年7月30日 涉及数量 2270台 生产批号/批次 所有 TARMAC SL7自行车都受到本次召回的影响。 产品描述及外观照片 存在的缺陷 剧烈的正面碰撞（例如猛烈撞击路面深坑）可能导致车头碗组部件承受异常压 力，并且可能造成前叉的舵管出现裂纹。 可能导致的后果 损坏的前叉如果继续使用，可能会断裂，从而造成摔倒和受伤隐患。 避免损害发生的应急处置方式 立即停止使用 具体召回措施 闪电自行车（上海）有限公司将对所有TARMAC SL7 自行车进行召回，更换膨胀 塞 召回负责机构 闪电自行车（上海）有限公司 召回联系方式 021-20605155 召回进度安排 公司将于2021年10月15日发布召回信息，预计在2022年1月14日完成召回工作， 召回的缺陷产品将实行报废处理。 其他需要报告的内容 无 其他信息 相关用户可以登录缺陷产品管理中心网站（dpac.samr.gov.cn）以及关注微信公 众号（SAMRDPAC)，或登录上海市市场监督管理局网站(scjgj.sh.gov.cn)，也可 以拨打热线电话：010-59799616，021-54266039反映更多缺陷信息。 （转自上海市市场监督管理局网站） 此外，用户可登录国家市场监督管理总局缺陷产品管理中心网站（dpac.samr.gov.cn）、中国产品安全与召回信息网（www.recall.org.cn），关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【上海】闪电自行车（上海）有限公司召回TARMAC SL7自行车,https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202110/t20211015_100591.html
20211015,广东,深圳市金冠达科技有限公司,jinjiang金将品牌延长线插座,日前，深圳市金冠达科技有限公司按照《消费品召回管理暂行规定》的要求，主动向广东省市场监督管理局报告了召回计划，将自即日起，召回2020年1月至2020年12月期间制造的部分jinjiang金将品牌延长线插座，型号：JJ-812，涉及数量为10000个。 本次召回范围内的延长线插座，由于产品存在表面无警示标识，接地插套无接地线路，导线横截面积过小，弯曲试验时电流中断软缆断裂，耐热试验后产品外壳变形影响使用等问题，可能引起触电、过热、起火等危险。对于召回范围内的延长线插座，深圳市金冠达科技有限公司将积极落实企业主体责任，开展缺陷产品召回、安全技术改进工作，提升产品安全水平，并免费为客户更换一件全新的符合要求的延长线插座或者退货处理，以消除安全隐患。 深圳市金冠达科技有限公司将自即日起在销售门店上张贴召回计划，提示持有受影响产品的消费者停止使用该产品并联系深圳市金冠达科技有限公司或其经销商进行免费更换或者退货处理。用户通过客户服务热线（17620098618）进一步了解具体情况。用户也可登录广东省市场监督管理局网站“政务公开-重点领域信息公开-召回”栏目了解更多信息，或拨打广东省市场监督管理局缺陷产品管理中心热线电话（020-89232663）反映召回活动实施过程中的问题或提交缺陷线索。 （转自广东省市场监督管理局网站） 此外，用户可登录国家市场监督管理总局缺陷产品管理中心网站（dpac.samr.gov.cn）、中国产品安全与召回信息网（www.recall.org.cn），关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【广东】深圳市金冠达科技有限公司召回部分jinjiang金将品牌延长线插座,https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202110/t20211015_100590.html
20211015,广东,中山泰瑞达科技有限公司,TER品牌破壁料理机,日前，中山泰瑞达科技有限公司按照《消费品召回管理暂行规定》的要求，主动向广东省市场监督管理局报告了召回计划，将自即日起，召回2020年9月5日至9月8日制造的TER品牌破壁料理机，型号：T-M1，涉及数量为291件。 本次召回范围内的破壁料理机，由于在生产过程中员工装配操作不当，可能导致接地措施失效，存在安全隐患。对于召回范围内的破壁料理机，中山泰瑞达科技有限公司将积极落实企业主体责任，开展缺陷产品召回和安全技术改进工作，提升产品安全水平，并为购买到缺陷产品的消费者进行退货或者换货处理，以消除安全隐患。 中山泰瑞达科技有限公司将自即日起在天猫电商平台苏宁易购官方旗舰店、天猫电商平台TER旗舰店上发布召回计划，提示持有受影响产品的消费者停止使用并联系该公司或其经销商进行免费退换。用户可登录该公司上述电商网店或通过客户服务热线（4009903837）进一步了解具体情况。用户也可登录广东省市场监督管理局网站“政务公开-重点领域信息公开-召回”栏目了解更多信息，或拨打广东省市场监督管理局缺陷产品管理中心热线电话（020-89232663）反映召回活动实施过程中的问题或提交缺陷线索。 （转自广东省市场监督管理局网站） 此外，用户可登录国家市场监督管理总局缺陷产品管理中心网站（dpac.samr.gov.cn）、中国产品安全与召回信息网（www.recall.org.cn），关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【广东】中山泰瑞达科技有限公司召回部分TER品牌破壁料理机,https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202110/t20211015_100589.html
20211014,山西,山西神龙泵业有限公司,QS型潜水电泵,日前，山西神龙泵业有限公司按照《消费品召回管理暂行规定》的要求，主动向山西省市场监督管理局报告了召回计划，决定自即日起，召回2021年4月12日生产的型号规格为QS10-60-4 QS型潜水电泵，涉及数量为7台。 本次召回范围内的QS型潜水电泵无接地标志，消费者在使用过程中，有触电安全风险，危及人身安全。对于召回范围内的潜水电泵，山西神龙泵业有限公司将积极落实企业主体责任，开展缺陷产品召回和安全技术改进工作，免费为消费者补齐接地标志，以消除安全隐患。 山西神龙泵业有限公司即日起将在网站、经营场所等消费者可知晓的渠道发布召回公告，提示持有该产品的消费者立即停止使用并联系山西神龙泵业有限公司索要接地标志。消费者通过山西神龙泵业有限公司客服电话（0354-5315588/13703545815）询问持有的产品是否在影响范围内或进一步了解具体情况。消费者也可登录山西省市场监督管理局网站（scjgj.shanxi.gov.cn）以及关注山西省缺陷产品召回中心微信公众号（gh_626138d03997）了解相关信息，或拨打山西省缺陷产品召回中心投诉举报电话0351-3535007反映召回活动实施过程中的问题或提交缺陷线索。 （转自山西省市场监督管理局网站） 此外，用户可登录国家市场监督管理总局缺陷产品管理中心网站（dpac.samr.gov.cn）、中国产品安全与召回信息网（www.recall.org.cn），关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【山西】山西神龙泵业有限公司召回QS型潜水电泵,https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202110/t20211014_100573.html
20211014,山西,祁县海洋玻璃器皿厂,公道杯和蛋杯,日前，祁县海洋玻璃器皿厂按照《消费品召回管理暂行规定》的要求，主动向山西省市场监督管理局报告了召回计划，决定自即日起，召回2021年6月9日生产的规格型号分别为H10.5和 H11的公道杯和蛋杯，涉及数量分别为812个和1080个。 本次召回范围内的公道杯和蛋杯玻璃颗粒耐水性差，致使玻璃抵抗水侵蚀能力下降，消费者在使用过程中，玻璃本身溶入水中的钠、钙、镁、硅酸盐等离子增多，可能危害人体健康。对于召回范围内的公道杯和蛋杯，祁县海洋玻璃器皿厂将积极落实企业主体责任，开展缺陷产品召回和安全技术改进工作，免费为消费者退换货，以消除安全隐患。 祁县海洋玻璃器皿厂即日起将在销售微信群和经营场所等消费者可知晓的渠道发布召回公告，提示持有该产品的消费者立即停止使用并联系祁县海洋玻璃器皿厂免费退换货。因本次召回产生的相关费用由祁县海洋玻璃器皿厂承担。消费者通过祁县海洋玻璃器皿厂客服电话（0354-5299187/13603544055）询问持有的产品是否在影响范围内或进一步了解具体情况。消费者也可登录山西省市场监督管理局网站(scjgj.shanxi.gov.cn)以及关注山西省缺陷产品召回中心微信公众号(gh_626138d03997)了解相关信息，或拨打山西省缺陷产品召回中心投诉举报电话0351-3535007反映召回活动实施过程中的问题或提交缺陷线索。 （转自山西省市场监督管理局网站） 此外，用户可登录国家市场监督管理总局缺陷产品管理中心网站（dpac.samr.gov.cn）、中国产品安全与召回信息网（www.recall.org.cn），关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【山西】祁县海洋玻璃器皿厂召回部分公道杯和蛋杯,https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202110/t20211014_100572.html
20211014,山西,怀仁市龙欣瓷业有限责任公司,5英寸陶瓷餐具（碗）,日前，怀仁市龙欣瓷业有限责任公司按照《消费品召回管理暂行规定》的要求，向山西省市场监督管理局报告了召回计划，决定自即日起，召回2021年4月15日生产的型号规格为5英寸的陶瓷餐具（碗），涉及数量为2700个。 此次召回范围内的5英寸陶瓷餐具（碗），因生产工艺把控不严造成吸水率增大，在微波炉加热时因釉面受热不均匀可能导致瓷体破裂，危及人身安全；另外在清洗时，清洗液容易吸附进瓷体内导致微生物滋生，危害人体健康，存在潜在安全风险。对于召回范围内的5英寸陶瓷餐具（碗），怀仁市龙欣瓷业有限责任公司将积极落实企业主体责任，开展缺陷产品召回和安全技术改进工作，免费为消费者退换货，以消除安全隐患。 怀仁市龙欣瓷业有限责任公司即日起将在销售微信群和经营场所等消费者可知晓的渠道发布召回公告，提示持有该产品的消费者立即停止使用并联系怀仁市龙欣瓷业有限责任公司退换货。因本次召回产生的相关费用由怀仁市龙欣瓷业有限责任公司承担。消费者通过怀仁市龙欣瓷业有限责任公司客服电话（0349-3160138/18935480139）询问持有的产品是否在影响范围内或进一步了解具体情况。消费者也可登录山西省市场监督管理局网站(scjgj.shanxi.gov.cn)以及关注山西省缺陷产品召回中心微信公众号(gh_626138d03997)了解相关信息，或拨打山西省缺陷产品召回中心投诉举报电话0351-3535007反映召回活动实施过程中的问题或提交缺陷线索。 （转自山西省市场监督管理局网站） 此外，用户可登录国家市场监督管理总局缺陷产品管理中心网站（dpac.samr.gov.cn）、中国产品安全与召回信息网（www.recall.org.cn），关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【山西】怀仁市龙欣瓷业有限责任公司召回5英寸陶瓷餐具（碗）,https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202110/t20211014_100571.html
20211013,河南,封丘县卓依服装有限公司,幼儿园园服,封丘县卓依服装有限公司按照《消费品召回管理暂行规定》的要求，主动向河南省市场监督管理局报告了召回计划。即日起召回2021年5月1日至2021年5月20日生产的（部分）幼儿园园服，涉及数量为950件。 本次召回范围内的幼儿园园服，由于领子和服装侧缝处缝制有耐久性标签，易对儿童皮肤造成伤害。对于召回范围内的幼儿园园服，封丘县卓依服装有限公司将积极落实企业主体责任，开展产品召回，对存在缺陷的幼儿园园服统一返厂，换货处理，以消除安全隐患。 封丘县卓依服装有限公司将自即日起提示持有受影响产品的消费者停止使用该产品并联系厂家，用户也可通过客户服务热线18568557653进一步了解具体情况。 （河南省缺陷产品召回中心网站） 此外，用户可登录国家市场监督管理总局缺陷产品管理中心网站（dpac.samr.gov.cn）、中国产品安全与召回信息网（www.recall.org.cn），关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【河南】封丘县卓依服装有限公司召回部分幼儿园园服,https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202110/t20211013_100457.html
20211013,河南,封丘县卓依服装有限公司,中小学校服,封丘县卓依服装有限公司按照《消费品召回管理暂行规定》的要求，主动向河南省市场监督管理局报告了召回计划。即日起召回2021年5月1日至2021年5月20日生产的（部分）中小学校服，涉及数量为14131套。 本次召回范围内的中小学校服，由于校服领子和服装侧缝处缝制有耐久性标签，易对皮肤造成损伤；染料的迁移会对人体尤其是中小学生造成伤害。对于召回范围内的中小学校服，封丘县卓依服装有限公司将积极落实企业主体责任，开展产品召回，对存在缺陷的校服统一返厂，换货处理，以消除安全隐患。 封丘县卓依服装有限公司将自即日起提示持有受影响产品的消费者停止使用该产品并联系厂家，用户也可通过客户服务热线18568557653进一步了解具体情况。 （河南省缺陷产品召回中心网站） 此外，用户可登录国家市场监督管理总局缺陷产品管理中心网站（dpac.samr.gov.cn）、中国产品安全与召回信息网（www.recall.org.cn），关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【河南】封丘县卓依服装有限公司召回部分中小学校服,https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202110/t20211013_100456.html
20211015,新疆,乌鲁木齐市米东区新宏鑫家俱厂,（,日前，乌鲁木齐市米东区新宏鑫家俱厂按照《消费品召回管理暂行规定》的要求，主动向新疆维吾尔自治区市场监督管理局报告了召回计划，将自即日起，召回2021年3月至2021年4月期间制造的部分木质双层床，涉及数量为8件。 本次召回范围内的木质双层床，设计存在以下缺陷：双层床上铺安全栏板高度和缺口较大及床的相应位置没有标识永久性的安全警示刻度线；上下床梯子的脚踏板无防滑措施，缺少必要防护。使用者易从上铺跌落地面而受到伤害。对于召回范围内的木质双层床，乌鲁木齐市米东区新宏鑫家俱厂将积极落实企业主体责任，开展缺陷产品召回、安全技术改进工作，提升产品安全水平，并免费为消费者调修，以消除安全隐患。 乌鲁木齐市米东区新宏鑫家俱厂自即日起发布召回计划，电话回访消费者，提示持有受影响产品的消费者联系乌鲁木齐市米东区新宏鑫家俱厂进行免费调修。消费者可通过客户服务热线（0991-3326390）进一步了解具体情况。 （转自新疆维吾尔自治区产品质量监督检验研究院网站） 此外，用户可登录国家市场监督管理总局缺陷产品管理中心网站（dpac.samr.gov.cn）、中国产品安全与召回信息网（www.recall.org.cn），关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【新疆】乌鲁木齐市米东区新宏鑫家俱厂召回（部分）木质双层床,https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202110/t20211015_100587.html
20211015,新疆,乌鲁木齐市米东区韩明易多金属制造有限公司,双层床,日前，乌鲁木齐市米东区韩明易多金属制造有限公司按照《消费品召回管理暂行规定》的要求，主动向新疆维吾尔自治区市场监督管理局报告了召回计划，将自即日起，召回2020年10月至2021年2月期间制造的部分木质双层床，涉及数量为93件。 本次召回范围内的金属双层床，设计存在以下缺陷：双层床上铺安全栏板高度和缺口较大及床的相应位置没有标识永久性的安全警示刻度线；上下床梯子的脚踏板无防滑措施，缺少必要防护。使用者易从上铺跌落地面而受到伤害。对于召回范围内的双层床，乌鲁木齐市米东区韩明易多金属制造有限公司将积极落实企业主体责任，开展缺陷产品召回、安全技术改进工作，提升产品安全水平，并免费为消费者调修，以消除安全隐患。 乌鲁木齐市米东区韩明易多金属制造有限公司自即日起发布召回计划，电话回访消费者，提示持有受影响产品的消费者联系乌鲁木齐市米东区韩明易多金属制造有限公司进行免费调修。消费者可通过联系电话（18099917999）进一步了解具体情况。 （转自新疆维吾尔自治区产品质量监督检验研究院网站） 此外，用户可登录国家市场监督管理总局缺陷产品管理中心网站（dpac.samr.gov.cn）、中国产品安全与召回信息网（www.recall.org.cn），关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【新疆】乌鲁木齐市米东区韩明易多金属制造有限公司召回双层床,https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202110/t20211015_100588.html
20211015,新疆,新疆吉可祥金属制品有限公司,（,日前，新疆吉可祥金属制品有限公司按照《消费品召回管理暂行规定》的要求，主动向新疆维吾尔自治区市场监督管理局报告了召回计划，将自即日起，召回2021年3月至2021年4月期间制造的高低床，涉及数量为50件。 本次召回范围内的高低床，由于设计缺陷，存在安全隐患。反映在：双层床上铺安全栏板高度和缺口较大及床的相应位置没有标识永久性的安全警示刻度线，上下床梯子的脚踏板无防滑措施等产品设计问题。缺少必要防护，使用者易从上铺跌落地面而受到伤害。对于召回范围内的产品，新疆吉可祥金属制品有限公司将积极落实企业主体责任，开展缺陷产品召回、安全技术改进工作，提升产品安全水平，并免费更换全新的符合国标要求的高低床，以消除安全隐患。 新疆吉可祥金属制品有限公司将自即日起发布召回计划，并电话回访消费者，提示持有受影响产品的消费者停止使用该产品并联系新疆吉可祥金属制品有限公司或其经销商进行免费更换，消费者可通过服务热线（0991-5184092）进一步了解具体情况。 （转自新疆维吾尔自治区产品质量监督检验研究院网站） 此外，用户可登录国家市场监督管理总局缺陷产品管理中心网站（dpac.samr.gov.cn）、中国产品安全与召回信息网（www.recall.org.cn），关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【新疆】新疆吉可祥金属制品有限公司主动召回（部分）高低床,https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202110/t20211015_100586.html
20211015,新疆,新疆吉瑞祥科技股份有限公司,木制双层床,日前，新疆吉瑞祥科技股份有限公司按照《消费品召回管理暂行规定》的要求，主动向新疆维吾尔自治区市场监督管理局报告了召回计划，将即日起，召回2020年12月制造的木制双层床，涉及数量为16件。 本次召回的木制双层床，由于设计缺陷，存在安全隐患。反映在：双层床上铺安全栏板高度和缺口较大及床的相应位置没有标识永久性的安全警示刻度线，上下床梯子的脚踏板无防滑措施等产品设计问题。缺少必要防护，使用者易从上铺跌落地面而受到伤害。新疆吉瑞祥科技股份有限公司将积极落实企业主体责任，开展缺陷产品召回、安全技术改进工作，提升产品安全水平，并为消费者免费换货，以消除安全隐患。 新疆吉瑞祥科技股份有限公司即日起发布召回计划，提示持有受影响产品的消费者停止使用该产品并联系新疆吉瑞祥科技股份有限公司或其经销商进行免费更换。消费者可登录新疆吉瑞祥科技股份有限公司官方网站查看持有的产品是否在受影响范围内，进一步了解具体情况。 （转自新疆维吾尔自治区产品质量监督检验研究院网站） 此外，用户可登录国家市场监督管理总局缺陷产品管理中心网站（dpac.samr.gov.cn）、中国产品安全与召回信息网（www.recall.org.cn），关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【新疆】新疆吉瑞祥科技股份有限公司召回木制双层床,https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202110/t20211015_100585.html
20211013,安徽,安徽天添塑业有限公司,口罩,日前，安徽天添塑业有限公司按照《安徽省消费品召回管理暂行办法》的要求，向安徽省市场监督管理局、安庆市市场监督管理局报告了召回计划，将自即日起召回:2020年12月3日制造的型号为9.5cm×17.5cm的BFE4层过滤口罩，涉及数量1000包；2020年10月2日制造的型号为9.5cm×17.5cm的袋装一次性防护口罩，涉及数量800包；2020年12月1日制造的型号为9.5cm×17.5cm的一次性防护口罩，涉及数量500包；2020年9月1日制造的型号为9.5cm×17.5cm的BFE4层过滤口罩，涉及数量800包；2020年9月1日制造的型号为9.5cm×17.5cm的一次性防护口罩（平面型），涉及数量1000包（每包均10只）。 本次召回范围内的BFE4层过滤口罩、袋装一次性防护口罩、一次性防护口罩、一次性防护口罩（平面型），其过滤效率较低，口罩阻隔飞沫的防护效果较低，过滤细菌、病毒等气溶胶的能力受到影响，可能对消费者呼吸安全起不到应有的保护作用，存在一定的安全隐患。对于召回范围内的口罩，安徽天添塑业有限公司将积极落实企业主体责任，开展缺陷产品召回、安全技术改进工作，提升产品安全水平，并免费为消费者提供退换货服务，以消除安全隐患。 安徽天添塑业有限公司将自即日起发布召回计划，提示持有受影响产品的消费者停止使用该产品并联系该公司进行免费更换。或通过客户服务热线（13956552281）进一步了解具体情况。用户也可登录安徽省缺陷产品召管理技术中心网站（www.ahdpract.com）了解更多信息或提交相关缺陷线索。 （转自安徽省缺陷产品召回管理技术中心网站） 此外，用户可登录国家市场监督管理总局缺陷产品管理中心网站（dpac.samr.gov.cn）、中国产品安全与召回信息网（www.recall.org.cn），关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【安徽】安徽天添塑业有限公司召回部分口罩,https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202110/t20211013_100455.html
20211013,安徽,芜湖威图防护设备制造有限公司,一次性防护口罩（非医用）,日前，芜湖威图防护设备制造有限公司按照《消费品召回管理暂行规定》的要求，向安徽省市场监督管理局、芜湖市市场监督管理局报告了召回计划，将自即日起，召回2020年7月生产的规格型号Y6002一次性防护口罩（非医用）涉及数量为108000包（每包20片）。 本次召回范围内的一次性防护口罩（非医用）主要是因为其过滤效率（盐性介质）较低，对消费者呼吸安全起不到应有的防护作用，存在影响消费者健康的安全隐患。对于召回范围内的一次性防护口罩（非医用），芜湖威图防护设备制造有限公司将积极履行企业主体责任，开展缺陷产品召回、安全技术改进工作，提升产品质量，提供退货、换货或退款服务，以消除安全隐患，避免人身健康受到伤害。 芜湖威图防护设备制造有限公司将自即日起发布召回计划，提示持有受影响产品的消费者停止使用该产品并联系该公司进行免费退货、换货或退款服务。消费者可通过客户服务热线（0553-6065566）进一步了解该召回产品的具体信息。也可登录安徽省缺陷产品召回管理技术中心网站（www.ahdpract.com）了解更多信息或提交相关缺陷线索。 （转自安徽省缺陷产品召回管理技术中心网站） 此外，用户可登录国家市场监督管理总局缺陷产品管理中心网站（dpac.samr.gov.cn）、中国产品安全与召回信息网（www.recall.org.cn），关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【安徽】芜湖威图防护设备制造有限公司召回部分一次性防护口罩（非医用）,https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202110/t20211013_100454.html
20211012,安徽,萧县龙城镇成瑞印刷厂,大字簿,日前，萧县龙城镇成瑞印刷厂按照《消费品召回管理暂行规定》的要求，向安徽省市场监督管理局、宿州市市场监督管理局报告了召回计划，将自即日起，召回2021年7月20日生产的型号规格为16K*20页的大字簿，涉及数量为8000本。 本次召回范围内的大字簿，由于存在危险锐利尖端，导致学生及儿童在使用作业本时存在划伤手部的风险，有一定的安全隐患。对于召回范围内的大字簿，萧县龙城镇成瑞印刷厂将积极落实企业主体责任，开展缺陷产品召回、安全技术改进工作，并免费为客户更换全新的符合要求的大字簿，以消除安全隐患，避免人身健康受到伤害。 萧县龙城镇成瑞印刷厂将自即日起发布召回计划，提示持有受影响产品的消费者停止使用该产品并联系萧县龙城镇成瑞印刷厂（13635575288）进行退货或免费更换。用户也可以登录安徽省缺陷产品召回管理技术中心网站（www.ahdpract.com）了解更多信息或提交相关缺陷线索。 （转自安徽省缺陷产品召回管理技术中心网站） 此外，用户可登录国家市场监督管理总局缺陷产品管理中心网站（dpac.samr.gov.cn）、中国产品安全与召回信息网（www.recall.org.cn），关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【安徽】萧县龙城镇成瑞印刷厂召回部分大字簿,https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202110/t20211012_100359.html
20211013,安徽,亳州市威宣针纺织品有限公司,一次性使用口罩（非医用）,日前，亳州市威宣针纺织品有限公司按照《消费品召回管理暂行规定》的要求，向安徽省市场监督管理局、亳州市市场监督管理局备案了召回计划，将自即日起，召回2021年1月14日生产的型号为175mm×95mm的一次性使用口罩（非医用），涉及数量为涉及数量为200包（50只/包）。 本次召回范围内一次性防护口罩存在的问题是：其过滤效率较低，可能对消费者呼吸安全起不到应有的保护作用。对于召回范围内的一次性使用口罩，亳州市威宣针纺织品有限公司将积极落实企业主体责任，开展缺陷产品召回、安全技术改进工作，提升产品安全水平，并免费为客户更换符合要求的一次性防护口罩，以消除安全隐患。 亳州市威宣针纺织品有限公司将自即日起发布召回计划，提示持有受影响产品的消费者停止使用并联系该公司进行免费更换。消费者可通过客户服务热线（13335678920）了解该召回产品的具体信息，也可登录安徽省缺陷产品召回管理技术中心网站（www.ahdpract.com）了解更多信息或提交相关缺陷线索。 （转自安徽省缺陷产品召回管理技术中心网站） 此外，用户可登录国家市场监督管理总局缺陷产品管理中心网站（dpac.samr.gov.cn）、中国产品安全与召回信息网（www.recall.org.cn），关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【安徽】亳州市威宣针纺织品有限公司召回一次性使用口罩（非医用）,https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202110/t20211013_100453.html
